schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--confucius,artifact--sha256:cc56424ad620c9b74a5e5dc09490122c7397b70e8e32a79a751e1f1fc1f04e8b,observation--sha256:15534aa07fdb49f2a299c0bb40bdb45dae5655dffe79468a9a9ba55133f8d61f,file-name,010Editor.exe,010Editor.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,6b64 29b076fbaddd032059335a6156e 7801f OJOINT INSPECTION OF INSULATION MATERIAL 57th BATCH OF KoM - 15HT-2 (SB-278).rar 3e84bf8e1f9b469c3fcc24281a1f6 5dc 此类样本都是基于黑市上贩卖的注入器和开源的远控结合而成， 给我们的溯源过程造成 了巨大的困难。 诱饵分析 从 2018 年至今的攻击，我们将攻击中涉及到的诱饵，伪造的正常程序的名称以及诱惑 性词汇进行了筛选（其中有涉及印度相关词汇的诱饵名称）。 India's 5th Gen Fighter Jet Report.exe Adviser Senior Director eysd.docx Revised Programmable Logic Control (PLC) System.exe Policy_update.exe Crashreporter.exe Officers_List.apk PakRail.apk Programmable Logic Control (PLC),
1.0.0,actor--confucius,artifact--sha256:7ed015c7d2876a70678df9de9a01f658bea1e5a03d77961b90b22a5f6f33b256,observation--sha256:f7cffcd256058b113f005ec1849ccc7dc776699562e2d60b6026a0fa545bc4d7,file-name,19.exe,19.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 39}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,关联相关样本信息如下： 文件名 MD5 ITW FINAL.exe e7b6ec85ece1c431f07b4a47e264190d http://92.118.190.16/FINAL.exe audiopro.exe c3d422c2065ec3d9063929a1d4955416 http://anf.gov.pk/js/plugins/audiopro.exe UA-COVID- 19.exe 2d2fe787b2728332341166938a25fa26 http://anf.gov.pk/pmstesting/export/test/covid- 19/UA-COVID-19.exe 其中部分样本被挂在巴基斯坦反毒品部队官网上。 上述样本与 2019 年时“魔罗桫”APT 组织（Confucius APT）使用的泄密木马同源：,
1.0.0,actor--confucius,artifact--sha256:6d0c674383bb491c2f7d27e1825bf76faa6c6bf1744ab70063755c0f5439c48e,observation--sha256:15cafc0045c35ad148b5a51da8c4eb32989270c4e4f4de53da703222bb4ddc97,file-name,2.php,2.php,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 41}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,主要功能为注入上述泄密木马 以上样本的 C2: http://188.215.229.20/2.php，可以基本断定 188.215.229.20 为“魔罗桫” APT 组织的基础设施。关联的样本中有一个名为 Notepad.NET.exe 的样本引起了我们的注 意： 文件名 MD5 ITW Notepad.NET.exe 842c3c8b62e4ed67ec529ab08ee87c4a http://185.214.10.220/1/KB-Auto-win- update.exe 该样本为 DeMnu 混淆器变种,
1.0.0,actor--confucius,artifact--sha256:6d0c674383bb491c2f7d27e1825bf76faa6c6bf1744ab70063755c0f5439c48e,observation--sha256:5ad0def2fbf3b3ca01386da8015d4194d05cb3e2148d09c14f4bae408d7578a3,file-name,2.php,2.php,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 43}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,SerialNumber:00B7C6B7197558146FB298AA80BDEC99 除此之外我们对 DeMnu 混淆器 ITW 的 IP（185.214.10.220）进行关联时发现该IP 下的 所有样本均为“魔罗桫”APT 组织（Confucius APT）的窃密木马： 文件名 MD5 C2 010Editor 33a2941742ed2f4b6b412d239711d6a3 http://185.214.10.220/2.php rcs.exe 8a4e265cfbad8d136222dda60505b61d http://185.214.10.220/p.php 94a87ee68fe8f998df3ffc84bb459a1d http://185.214.10.220/2.php vs_community.exe dee2bc2f5424874a5fc7cf51c4cd2b55 185.214.10.220/2.php vs_community.exe 2d2fe787b2728332341166938a25fa26 http://185.214.10.220/2.ph,
1.0.0,actor--confucius,artifact--sha256:6d0c674383bb491c2f7d27e1825bf76faa6c6bf1744ab70063755c0f5439c48e,observation--sha256:6b9f27ff69e62d53bef0e83b5ceaaf38200b474f6044a1c6cc98c87c7525b4f0,file-name,2.php,2.php,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,sessionexpire.com coremailxt5mainjsp.com msword.windowsupdate.microsoft.msn.coremailxt5mainjsp.com us02web.zoom.us.coremailxt5mainjsp.com http://185.214.10.220/p.php http://185.214.10.220/2.php http://92.118.190.16/FINAL.exe http://anf.gov.pk/js/plugins/audiopro.exe http://anf.gov.pk/pmstesting/export/test/covid-19/UA-COVID-19.exe http://wahindustries.com.pk/js/plan.exe http://185.214.10.220/1/KB-Auto-win-update.exe http://coremailxt5mainjsp.com/ps/sgrm.exe http://185.214.10.220/1/officers_list.,
1.0.0,actor--confucius,artifact--sha256:95fd97e2be5d37baadeb33c1afcfce5e2c50ec0e1f0ba2076ad7679718d17c8a,observation--sha256:0138d58c0b4248af581f3d8f69581a05943815efc0ea723fd6ac0b4c67e66491,file-name,20200720.doc,20200720.doc,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,http://authowawebmailgo.com/securemail.auth/hello.jpg 下载的 Image.png 为.net 编写的 DeMnu 混淆器。 加载 Polyloader 后最终运行 AsyncRat，C2 与上述一致，hello.jpg 由 VB 编写，弹出提 示框，迷惑用户： RTF 恶意文档分析 文件名 MD5 类型 letter to ADP for clearance of CRVs 20200720.doc 4e548b5597f995b42decd7591ba4212e RTF RTF 内嵌了一个 DeMnu 混淆器,
1.0.0,actor--confucius,artifact--sha256:fb953a0e743c416b2fe94ab6c72f9813cd6e06479b14d6f77f54fa9b58757bb5,observation--sha256:78c1161198166e648c1c1e8a18b62bf1fa1b29cbc2329c758703b5bf62b3fcb1,file-name,20System.zip,20System.zip,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 33}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,mail.spacestar.com.cn.jspsessionindex.com 航天恒星 ecatic.cn.coremail.xt5.jspsessionindex.com 中航技进出口有限责任公司 login.mail.csoc.cn.coremail.xt5.jspsessionindex.com 中国船贸 login.mail.chinaships.com.coremail.xt5.jspsessionindex.com 中国船舶 www.maill.cetci.com.cn.coremail.jspsessionindex.com 中国电子科技集团 avicintl.cn.coremail.xt3.jspsessionindex.com 中航国际 其还会伪装成新浪、163、126 的邮件，进行更加通用的攻击 子域名 伪装对象 login.mail.126.com.hhwwebmail.jspsessionindex.com 126 邮箱 login.mail.163.com.hhwwebmail.jspsessionindex.com 163 邮箱 auth.mail.s,
1.0.0,actor--confucius,artifact--sha256:ff6b51041b27981fa5f122db01b96c1f4e670999532cd061a296885e8b99e4f6,observation--sha256:7a81b1a822d16ba71acd72abe0fb9c747b5ec72132c25abdd40a0d22f88ca8ca,file-name,AIT.doc,AIT.doc,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,除此之外我们还找到了“魔罗桫”APT 组织所投放的 DDE 样本 文件名 MD5 文件类型 AIT.doc 1331b068477e2974894a899c855bfc4b word 文档,
1.0.0,actor--confucius,artifact--sha256:04b26c8c4b87c9f79121a35c0b386c1d6f65a46ef1a44ee63d11f7e0d9e33fbd,observation--sha256:43aeed832d813cd3539e985f8460988426b986196eef11bda29be70d8039811b,file-name,Crashreporter.exe,Crashreporter.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,6b64 29b076fbaddd032059335a6156e 7801f OJOINT INSPECTION OF INSULATION MATERIAL 57th BATCH OF KoM - 15HT-2 (SB-278).rar 3e84bf8e1f9b469c3fcc24281a1f6 5dc 此类样本都是基于黑市上贩卖的注入器和开源的远控结合而成， 给我们的溯源过程造成 了巨大的困难。 诱饵分析 从 2018 年至今的攻击，我们将攻击中涉及到的诱饵，伪造的正常程序的名称以及诱惑 性词汇进行了筛选（其中有涉及印度相关词汇的诱饵名称）。 India's 5th Gen Fighter Jet Report.exe Adviser Senior Director eysd.docx Revised Programmable Logic Control (PLC) System.exe Policy_update.exe Crashreporter.exe Officers_List.apk PakRail.apk Programmable Logic Control (PLC),
1.0.0,actor--confucius,artifact--sha256:aa8fdab8302c141b7b9eaf2ad3a14899f7c721767d3ffa42ab3e22e6df265180,observation--sha256:1babbe99901e612c951cf9ad02a9f0ed7490bdd8faa7216223f4e25772c4bc99,file-name,FINAL.exe,FINAL.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 39}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,关联相关样本信息如下： 文件名 MD5 ITW FINAL.exe e7b6ec85ece1c431f07b4a47e264190d http://92.118.190.16/FINAL.exe audiopro.exe c3d422c2065ec3d9063929a1d4955416 http://anf.gov.pk/js/plugins/audiopro.exe UA-COVID- 19.exe 2d2fe787b2728332341166938a25fa26 http://anf.gov.pk/pmstesting/export/test/covid- 19/UA-COVID-19.exe 其中部分样本被挂在巴基斯坦反毒品部队官网上。 上述样本与 2019 年时“魔罗桫”APT 组织（Confucius APT）使用的泄密木马同源：,
1.0.0,actor--confucius,artifact--sha256:aa8fdab8302c141b7b9eaf2ad3a14899f7c721767d3ffa42ab3e22e6df265180,observation--sha256:439530d68f569555147239c0fa7c04206cb71f6561329a024e6bd4a4019f1412,file-name,FINAL.exe,FINAL.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,sessionexpire.com coremailxt5mainjsp.com msword.windowsupdate.microsoft.msn.coremailxt5mainjsp.com us02web.zoom.us.coremailxt5mainjsp.com http://185.214.10.220/p.php http://185.214.10.220/2.php http://92.118.190.16/FINAL.exe http://anf.gov.pk/js/plugins/audiopro.exe http://anf.gov.pk/pmstesting/export/test/covid-19/UA-COVID-19.exe http://wahindustries.com.pk/js/plan.exe http://185.214.10.220/1/KB-Auto-win-update.exe http://coremailxt5mainjsp.com/ps/sgrm.exe http://185.214.10.220/1/officers_list.,
1.0.0,actor--confucius,artifact--sha256:ddc71e4d1222a1074393d27b618fa2bc970c4c5436112a27dd9879938d84e9ee,observation--sha256:d40ed84ad3079cd9a22fc2835b6fc25a7c760314d38800c0fca74a39c6e3660e,file-name,KB-Auto-win-update.exe,KB-Auto-win-update.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,6b64 29b076fbaddd032059335a6156e 7801f OJOINT INSPECTION OF INSULATION MATERIAL 57th BATCH OF KoM - 15HT-2 (SB-278).rar 3e84bf8e1f9b469c3fcc24281a1f6 5dc 此类样本都是基于黑市上贩卖的注入器和开源的远控结合而成， 给我们的溯源过程造成 了巨大的困难。 诱饵分析 从 2018 年至今的攻击，我们将攻击中涉及到的诱饵，伪造的正常程序的名称以及诱惑 性词汇进行了筛选（其中有涉及印度相关词汇的诱饵名称）。 India's 5th Gen Fighter Jet Report.exe Adviser Senior Director eysd.docx Revised Programmable Logic Control (PLC) System.exe Policy_update.exe Crashreporter.exe Officers_List.apk PakRail.apk Programmable Logic Control (PLC),
1.0.0,actor--confucius,artifact--sha256:ddc71e4d1222a1074393d27b618fa2bc970c4c5436112a27dd9879938d84e9ee,observation--sha256:cbebe01f0bc6b4d72aaf710a2bb9c3fd850884e539f31a300a4036ceaa2c19fb,file-name,KB-Auto-win-update.exe,KB-Auto-win-update.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,sessionexpire.com coremailxt5mainjsp.com msword.windowsupdate.microsoft.msn.coremailxt5mainjsp.com us02web.zoom.us.coremailxt5mainjsp.com http://185.214.10.220/p.php http://185.214.10.220/2.php http://92.118.190.16/FINAL.exe http://anf.gov.pk/js/plugins/audiopro.exe http://anf.gov.pk/pmstesting/export/test/covid-19/UA-COVID-19.exe http://wahindustries.com.pk/js/plan.exe http://185.214.10.220/1/KB-Auto-win-update.exe http://coremailxt5mainjsp.com/ps/sgrm.exe http://185.214.10.220/1/officers_list.,
1.0.0,actor--confucius,artifact--sha256:11e2212dc0b323ea6ff0545aa65c0b3ba0b85f5fa6c62e93e12394cd8e9d9c87,observation--sha256:4705698f6a32ea931de90faecf584bcbee593323ff555a4302d252154d10066f,file-name,Msgr.exe.vbs,Msgr.exe.vbs,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,PDF 已损坏，压缩包中带有损坏的文档和一个可执行文件，这种手法 APT28 也用过， 凑巧的是可执行文件同样由 Dephi 语言编写： 文件名 MD5 编译器 Revised Programmable Logic Control (PLC) System.exe 9d9ea8060ca29139803dc7e0dc7d183c Dephi 注入 器 第一次运行时会执行持久化操作， 将自身拷贝到%appdate%/data目录下， 并在启动目录 释放 Msgr.exe.vbs 文件： 核心逻辑在创建的线程中，通过出发异常的形式执行恶意代码，存在大量的花指令,
1.0.0,actor--confucius,artifact--sha256:3b1eb6bc86ba08eb18f6db82a320a58097424ef8a716263b9fee35405c3c270f,observation--sha256:134c1d541eacf1d07647e372e99c8ee691e21b4777879a5c74dd59b3e4b9de8a,file-name,Netvmon.exe,Netvmon.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 40}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,其中还有未曾披露过的 SFX 类型的样本 文件名 MD5 ITW plan.exe d373bf68ceb8e395719a1ad6befba66d http://wahindustries.com.pk/js/plan.exe 样本被挂在巴基斯坦 WIL 兵工厂网站上 执行链如下：vbs->bat->lnk->dropper exe，Netvmon.exe 为.net 编写的 injector，混 淆 代码中也出现了中文：,
1.0.0,actor--confucius,artifact--sha256:b7234d15e073368d3699121a7fe9bda8f0ed03d2d92fe5ff2d609f2ed95e2761,observation--sha256:7051507aea0159481d6307274fc53fac17540cb4a2a401b087b07298686e7114,file-name,Notepad.NET.exe,Notepad.NET.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,6b64 29b076fbaddd032059335a6156e 7801f OJOINT INSPECTION OF INSULATION MATERIAL 57th BATCH OF KoM - 15HT-2 (SB-278).rar 3e84bf8e1f9b469c3fcc24281a1f6 5dc 此类样本都是基于黑市上贩卖的注入器和开源的远控结合而成， 给我们的溯源过程造成 了巨大的困难。 诱饵分析 从 2018 年至今的攻击，我们将攻击中涉及到的诱饵，伪造的正常程序的名称以及诱惑 性词汇进行了筛选（其中有涉及印度相关词汇的诱饵名称）。 India's 5th Gen Fighter Jet Report.exe Adviser Senior Director eysd.docx Revised Programmable Logic Control (PLC) System.exe Policy_update.exe Crashreporter.exe Officers_List.apk PakRail.apk Programmable Logic Control (PLC),
1.0.0,actor--confucius,artifact--sha256:b7234d15e073368d3699121a7fe9bda8f0ed03d2d92fe5ff2d609f2ed95e2761,observation--sha256:b04a08b4a48f068cc21a43803615b6bb4814d1e6d82c2385c9aab64f261b4f9f,file-name,Notepad.NET.exe,Notepad.NET.exe,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 41}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,主要功能为注入上述泄密木马 以上样本的 C2: http://188.215.229.20/2.php，可以基本断定 188.215.229.20 为“魔罗桫” APT 组织的基础设施。关联的样本中有一个名为 Notepad.NET.exe 的样本引起了我们的注 意： 文件名 MD5 ITW Notepad.NET.exe 842c3c8b62e4ed67ec529ab08ee87c4a http://185.214.10.220/1/KB-Auto-win- update.exe 该样本为 DeMnu 混淆器变种,
1.0.0,actor--confucius,artifact--sha256:df14e403cb678da20b7166ce51d06c858be69e50aa55bd81371417e0f966ec87,observation--sha256:842a3c095d6d18ad7e2267ad6e4430cb6d21e04c23f46957ee1d28b51840d270,file-name,Officers.apk,Officers.apk,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,名称进行伪装，相关信息如下。 应用名称 MD5 ITW Government Officers.apk 005e8de2974db8722073fa54e8b8d435 http://185.214.10.220/1/officers_list.apk Pak Railways.apk e91e10978ace80a789363288ffee178a 经分析发现此类样本为开源安卓木马 spynote 改写而来。 疑似“商贸信”攻击 在分析过程中， 红雨滴研究人员基于钓鱼域名捕获了一些疑似该组织利用“商贸信” 手法传播商业，开源木马的攻击样本，相关信息如下： 文件名 MD5 Programmable%20Logic%20Control%20(PLC)%20Sys tem.zip f66d98a61c5b00423da7c7adf028 cd0a MOM 中讨论的项目更新进度.rar 25ed7244f6cc13de912038156184 a420 ca06302c2e1b12cd69dfd2c1a95f,
1.0.0,actor--confucius,artifact--sha256:482d6a933d3f64dfbda846713b2c710624ef70bd42124f2a3238af86dcea3a68,observation--sha256:6d08b3b089d73fb5917a59f6172a950acb16b6a6d5a1bbb22d29124034a3c304,file-name,Officers_List.apk,Officers_List.apk,candidate,,unknown,unknown,not-stated,,source--confucius--a8091dfddcd96a77,Confucius/OperationTibbar-A-retaliatory-targeted-attack-from-SouthAsian-APT-Group-Confucius.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,6b64 29b076fbaddd032059335a6156e 7801f OJOINT INSPECTION OF INSULATION MATERIAL 57th BATCH OF KoM - 15HT-2 (SB-278).rar 3e84bf8e1f9b469c3fcc24281a1f6 5dc 此类样本都是基于黑市上贩卖的注入器和开源的远控结合而成， 给我们的溯源过程造成 了巨大的困难。 诱饵分析 从 2018 年至今的攻击，我们将攻击中涉及到的诱饵，伪造的正常程序的名称以及诱惑 性词汇进行了筛选（其中有涉及印度相关词汇的诱饵名称）。 India's 5th Gen Fighter Jet Report.exe Adviser Senior Director eysd.docx Revised Programmable Logic Control (PLC) System.exe Policy_update.exe Crashreporter.exe Officers_List.apk PakRail.apk Programmable Logic Control (PLC),
